10,75,17.619662
10,150,29.419163
10,225,51.447446
10,300,71.409835
10,375,82.889518
10,450,101.605866
10,525,113.071934
10,600,121.140720
10,675,137.656321
10,750,292.551946
10,825,194.100441
10,900,201.717718
10,975,204.771387
10,1050,226.843349
20,75,11.990044
20,150,30.702668
20,225,43.191475
20,300,75.298702
20,375,66.576797
20,450,89.075361
20,525,93.386057
20,600,196.909424
20,675,141.751735
20,750,144.205439
20,825,165.063064
20,900,171.116877
20,975,188.433580
20,1050,213.768218
50,75,11.108004
50,150,29.286079
50,225,60.851297
50,300,55.765173
50,375,62.594621
50,450,72.730895
50,525,89.534003
50,600,105.637626
50,675,103.265533
50,750,151.641952
50,825,154.211120
50,900,144.583389
50,975,166.609071
50,1050,278.421493
